T26,Population employed in research and development (R&D),,,,,
458,Malaysia,2016,R & D personnel: Technicians - total (number in full-time equivalent),"8,078",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
458,Malaysia,2016,R & D personnel: Technicians - women (number in full-time equivalent),"2,447",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
458,Malaysia,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,564",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
458,Malaysia,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,664",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
458,Malaysia,2018,R & D personnel: Total (number in full-time equivalent),"83,763",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
458,Malaysia,2018,R & D personnel: Researchers - total (number in full-time equivalent),"68,880",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
458,Malaysia,2018,R & D personnel: Technicians - total (number in full-time equivalent),"7,360",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
458,Malaysia,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,523",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2010,R & D personnel: Total (number in full-time equivalent),856,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2010,R & D personnel: Researchers - total (number in full-time equivalent),443,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2010,R & D personnel: Researchers - women (number in full-time equivalent),62,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2010,R & D personnel: Technicians - total (number in full-time equivalent),342,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2010,R & D personnel: Technicians - women (number in full-time equivalent),44,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),71,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),34,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2015,R & D personnel: Total (number in full-time equivalent),"1,283",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2015,R & D personnel: Researchers - total (number in full-time equivalent),538,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2015,R & D personnel: Researchers - women (number in full-time equivalent),55,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2015,R & D personnel: Technicians - total (number in full-time equivalent),322,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2015,R & D personnel: Technicians - women (number in full-time equivalent),72,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),423,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),102,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Total (number in full-time equivalent),"1,451",Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Researchers - total (number in full-time equivalent),608,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Researchers - women (number in full-time equivalent),87,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Technicians - total (number in full-time equivalent),440,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Technicians - women (number in full-time equivalent),87,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),403,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
466,Mali,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),115,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Total (number in full-time equivalent),825,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Researchers - total (number in full-time equivalent),479,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Researchers - women (number in full-time equivalent),121,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Technicians - total (number in full-time equivalent),222,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Technicians - women (number in full-time equivalent),20,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),124,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),65,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Total (number in full-time equivalent),"1,102",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Researchers - total (number in full-time equivalent),587,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Researchers - women (number in full-time equivalent),150,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Technicians - total (number in full-time equivalent),335,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Technicians - women (number in full-time equivalent),36,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),179,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),87,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Total (number in full-time equivalent),"1,422",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Researchers - total (number in full-time equivalent),820,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Researchers - women (number in full-time equivalent),218,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Technicians - total (number in full-time equivalent),332,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Technicians - women (number in full-time equivalent),34,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),271,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),128,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Total (number in full-time equivalent),"1,542",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Researchers - total (number in full-time equivalent),933,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Researchers - women (number in full-time equivalent),275,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Technicians - total (number in full-time equivalent),388,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Technicians - women (number in full-time equivalent),81,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),221,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),111,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2018,R & D personnel: Total (number in full-time equivalent),"1,443",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
470,Malta,2018,R & D personnel: Researchers - total (number in full-time equivalent),855,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Total (number in full-time equivalent),"2,286",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Researchers - total (number in full-time equivalent),"2,263",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Researchers - women (number in full-time equivalent),523,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Technicians - total (number in full-time equivalent),14,Partial data.;Head count instead of Full-time equivalent.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Technicians - women (number in full-time equivalent),1,Partial data.;Head count instead of Full-time equivalent.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),9,Partial data.;Head count instead of Full-time equivalent.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2016,R & D personnel: Other supporting staff - women (number in full-time equivalent),3,Partial data.;Head count instead of Full-time equivalent.;Higher Education only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Total (number in full-time equivalent),"3,233",Head count instead of Full-time equivalent.;Higher Education only.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Researchers - total (number in full-time equivalent),"3,206",Head count instead of Full-time equivalent.;Higher Education only.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Researchers - women (number in full-time equivalent),785,Head count instead of Full-time equivalent.;Higher Education only.;Overestimated or based on overestimated data.;Do not correspond exactly to Frascati Manual recommendations.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Technicians - total (number in full-time equivalent),21,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Technicians - women (number in full-time equivalent),1,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
478,Mauritania,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),3,Head count instead of Full-time equivalent.;Higher Education only.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Total (number in full-time equivalent),627,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Researchers - total (number in full-time equivalent),228,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Researchers - women (number in full-time equivalent),94,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Technicians - total (number in full-time equivalent),68,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Technicians - women (number in full-time equivalent),34,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Other supporting staff - total (number in full-time equivalent),331,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2012,R & D personnel: Other supporting staff - women (number in full-time equivalent),57,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Total (number in full-time equivalent),"1,140",Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Researchers - total (number in full-time equivalent),600,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Researchers - women (number in full-time equivalent),278,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Technicians - total (number in full-time equivalent),165,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Technicians - women (number in full-time equivalent),58,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Other supporting staff - total (number in full-time equivalent),374,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
480,Mauritius,2018,R & D personnel: Other supporting staff - women (number in full-time equivalent),87,Break in the time series.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2005,R & D personnel: Total (number in full-time equivalent),"83,685",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2005,R & D personnel: Researchers - total (number in full-time equivalent),"43,922",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2005,R & D personnel: Technicians - total (number in full-time equivalent),"25,796",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"13,967",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2010,R & D personnel: Total (number in full-time equivalent),"70,997",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2010,R & D personnel: Researchers - total (number in full-time equivalent),"38,497",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2010,R & D personnel: Technicians - total (number in full-time equivalent),"20,760",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"11,740",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2015,R & D personnel: Total (number in full-time equivalent),"57,013",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2015,R & D personnel: Researchers - total (number in full-time equivalent),"34,282",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2015,R & D personnel: Technicians - total (number in full-time equivalent),"14,736",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,996",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2016,R & D personnel: Total (number in full-time equivalent),"65,824",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2016,R & D personnel: Researchers - total (number in full-time equivalent),"38,882",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2016,R & D personnel: Technicians - total (number in full-time equivalent),"17,303",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
484,Mexico,2016,R & D personnel: Other supporting staff - total (number in full-time equivalent),"9,638",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Total (number in full-time equivalent),18,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Researchers - total (number in full-time equivalent),10,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Researchers - women (number in full-time equivalent),5,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Technicians - total (number in full-time equivalent),5,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
492,Monaco,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),3,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2000,R & D personnel: Technicians - total (number in full-time equivalent),294,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2000,R & D personnel: Technicians - women (number in full-time equivalent),150,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Total (number in full-time equivalent),"2,283",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"1,731",Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Researchers - women (number in full-time equivalent),819,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Technicians - total (number in full-time equivalent),81,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),471,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Total (number in full-time equivalent),"2,517",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"1,739",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Researchers - women (number in full-time equivalent),865,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Technicians - total (number in full-time equivalent),129,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Technicians - women (number in full-time equivalent),48,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),649,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Total (number in full-time equivalent),"2,515",Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
496,Mongolia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"1,867",Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
